Grapevine Variety,Heat Summation Base 10°C
Gamay,321
Pinot gris,333
Pinot noir,334
Semillon,341
Riesling,349
Cabernet franc,349
Chardonnay,350
Tempranillo,355
Gewurztraminer,355
Chenin blanc,356
Cot,362
Chasselas,364
Petit Verdot,367
Muscat de Frontignan,367
Sauvignon blanc,371
Nieluccio (Sangiovese),371
Cinsault,373
Roussanne,376
Syrah,378
Grenache,379
Merlot,383
Marsanne,383
Cabernet Sauvignon,386
Xinomavro,391
Carignan,393
Muscat d’Alexandrie,394
Agiorgitiko,401
Tannat,401
Mourvedre,409
Ugni blanc,411
Vermentino,414
